Apple TV HD,,Apple TV 4K,,Apple TV 4K (2nd generation)
Color:,,Color:,,Color:
Black,,Black,,Black
CPU Specs:,,CPU Specs:,,Hardware:
Core Design: Apple Typhoon x 2,,Core Design: Apple Hurricane & Apple Zephyr,,Processor: Apple A12 Bionic
CPU: T7000,,CPU: T8011,,Memory: 4 GB LPDDR4 SDRAM
CPU Speed: 1.5 GHz,,CPU Speed: 2.38 GHz,,Storage: 32 GB or 64 GB NAND Flash
Instruction Set: ARMv8,,Instruction Set: ARMv8,,
Firmware:,,Firmware:,,Firmware:
Initial firmware: 9.0 (13T396),,Initial firmware: 11.0 (15J381),,Initial firmware: 14.5 (18L204)
Latest firmware: 16.1 (20K71),,Latest firmware: 16.1 (20K71),,Latest firmware: 16.1 (20K71)
Power Supply Specs:,,Power Supply Specs:,,
Current: 0.917 Amps,,Current: 1.083 Amps,,
Power: 410 Wh,,Power: ? Wh,,
Voltage: 12 V,,Voltage: 12 V,,
RAM:,,RAM:,,
2 GB,,3 GB,,
Storage:,,Storage:,,
32/64 GB,,32/64 GB,,